_id,Full Name,Email,Address,Pincode,Points,Mobile No
"jithendra@gmail.com","Jithendra","jithendra@gmail.com","Ayithepalle","517102","50","9876543214"
"harshith@gmail.com","Harshith","harshith@gmail.com","Bhimavaram","517102","50","9765438217"
"kowshik@gmail.com","Kowshik","kowshik@gmail.com","Bopparajupalle","517102","50","7684983214"
"swathi@gmail.com","Swathi","swathi@gmail.com","Buchinaidupalle","517102","50","8765469873"
"kiran@gmail.com","Kiran","kiran@gmail.com","Dornakambala","517102","50","8796549872"
"asad@gmail.com","Asad","asad@gmail.com","Kalyani Dam","517102","50","7893458761"
"ganesh@gmail.com","Ganesh","ganesh@gmail.com","Kotala","517102","50","9836549872"
"rajesh@gamil.com","Rajesh","rajesh@gamil.com","Mangapuram","517102","50","9237829452"
"diwakar@gmail.com","Diwakar","diwakar@gmail.com","Mungilipattu","517102","50","9222888373"
"rajeshwari@gmail.com","Rajeshwari","rajeshwari@gmail.com","Narasingapuram","517102","50","8762973834"
"lochanesh@gmail.com","Lochanesh","lochanesh@gmail.com","Seshapuram","517102","50","9823748285"
"bhargavi@gmail.com","Bhargavi","bhargavi@gmail.com","Thondavada","517505","50","8325283659"
"narasimha@gmail.com","Narasimha","narasimha@gmail.com","Perur","517505","50","9267992863"
"renu@gmail.com","Renu","Renu@gmail.com","Sanambhatla","517505","50","8734675892"
"srujan@gmail.com","Srujan","srujan@gmail.com","BalajiColony","517501","50","7869434963"
"niranjan@gmail.com","Niranjan","niranjan@gmail.com","Korlagunta","517501","50","8399583963"
"jithu@gmail.com","varma","jithu@gmail.com","Mohan Babu University","517501","40","9876453432"
"subrahmanyam@gmail.com","Subrahmanyam","subrahmanyam@gmail.com","Rangampet","517102","50","9834657223"
"vinay@gmail.com","Vinay","vinay@gmail.com","Chandragiri Fort","517102","50","7863946220"
"amrutha@gmail.com","Amrutha","amrutha@gmail.com","Chandragiri","517101","50","9875634285"
"romanreigns7342@gmail.com","Aadi Reigns","romanreigns7342@gmail.com","Kmm institute of technology","517102","40","8673687283"
"sharma@gmail.com","Sharma","sharma@gmail.com","Sree Vidynaikethan Eng College","517102","40","8677182778"
